 857600 , 1001980 ,-144380 , 498722.296 , 503257.704 , 50.22632228188 ,"03/09/2021","39506", 402189 ,"Bodyshop","J","00152","Azania Bank Limited", 1 ,"J5611160A90","F","A","A", 2905997 ,"01"
 145000 , 145000 , 0 , 89826.6217 , 55173.3783 , 38.05060572414 ,"03/09/2021","39506", 402189 ,"Bodyshop","J","00152","Azania Bank Limited", 1 ,"J5612160140","F","A","A", 2905998 ,"01"
 3250000 , 3250000 , 0 , 1756167.3055 , 1493832.6945 , 45.96408290769 ,"03/09/2021","39925", 402097 ,"Bodyshop","J","00328","Sales Department Accesories", 5 ,"J4260160612","I","A","A", 2907488 ,"01"
 366000 , 400000 ,-34000 , 171340.3326 , 228659.6674 , 57.16491685 ,"03/09/2021","39506", 402189 ,"Bodyshop","J","00152","Azania Bank Limited", 2 ,"J0885000801","F","A","A", 2916171 ,"01"
 136952 , 136952 , 0 , 59731.7406 , 77220.2594 , 56.384908143 ,"03/09/2021","39925", 402097 ,"Bodyshop","J","00328","Sales Department Accesories", 2 ,"J9038914056","I","A","A", 2916891 ,"01"
 136952 , 136952 , 0 , 24640.5046 , 112311.4954 , 82.00792642678 ,"03/09/2021","39925", 402097 ,"Bodyshop","J","00328","Sales Department Accesories", 2 ,"J9038922003","I","A","A", 2916892 ,"01"
 67200 , 67200 , 0 , 48708.7416 , 18491.2584 , 27.51675357143 ,"03/09/2021","39925", 402097 ,"Bodyshop","J","00328","Sales Department Accesories", 8 ,"J9038518021","I","A","A", 2916893 ,"01"
 366000 , 159986 , 206014 , 190338.3782 ,-30352.3782 ,-18.97189641594 ,"06/09/2021","36964", 402237 ,"Bodyshop","J","99024","Toyota Warranty", 2 ,"J0885000801","W","J","J", 2887338 ,"01"
 1466500 , 1778948 ,-312448 , 830754.25 , 948193.75 , 53.30081317723 ,"06/09/2021","40438", 402242 ,"Bodyshop","J","01684","TIB DEVELOPMENT BANK LIMITED", 1 ,"J561016A970","F","A","A", 2912981 ,"01"
 36300 , 47900 ,-11600 , 23280.1572 , 24619.8428 , 51.39841920668 ,"06/09/2021","40438", 402242 ,"Bodyshop","J","01684","TIB DEVELOPMENT BANK LIMITED", 1 ,"J7553160080","F","A","A", 2912982 ,"01"
